Climate ID,Latitude,Longitude,Elevation,HLY First Year,HLY Last Year,PROVINCE
2400600,69.11,-105.14,31.1,1953.0,2015.0,NU
2400602,69.11,-105.14,18.7,2002.0,2025.0,NU
1021270,49.95,-125.27,108.8,2014.0,2025.0,BC
1021267,49.95,-125.27,108.8,2013.0,2025.0,BC
1021261,49.95,-125.27,108.8,1979.0,2013.0,BC
3011240,53.05,-112.82,739.0,1994.0,2025.0,AB
7051050,48.42,-64.32,15.4,1994.0,2025.0,QC
7051163,49.25,-65.32,29.0,1994.0,2025.0,QC
2400635,64.23,-76.53,48.2,1970.0,2012.0,NU
2400634,64.23,-76.53,48.2,2008.0,2012.0,NU
2400650,66.65,-61.38,725.1,1955.0,2023.0,NU
2400654,66.58,-61.62,392.6,1959.0,1994.0,NU
2400660,68.47,-66.8,390.1,1956.0,2022.0,NU
2200675,70.17,-124.72,86.6,1956.0,2023.0,NT
8401000,46.66,-53.08,26.5,1953.0,2025.0,NL
1031353,50.78,-128.43,71.6,1966.0,2001.0,BC
1051351,51.94,-131.02,87.8,1993.0,2025.0,BC
1051350,51.93,-131.02,92.0,1953.0,1992.0,BC
6041222,47.33,-85.83,187.0,1994.0,2025.0,ON
8200774,45.77,-62.68,2.4,1994.0,2025.0,NS
8501100,53.71,-57.04,14.3,1953.0,2015.0,NL
8501106,53.68,-57.04,14.3,2015.0,2024.0,NL
8501101,53.68,-57.04,14.3,2015.0,2018.0,NL
1141455,49.3,-117.63,495.6,1954.0,2013.0,BC
1141460,49.3,-117.63,495.6,2014.0,2025.0,BC
1141456,49.3,-117.63,495.6,2013.0,2025.0,BC
1061458,52.19,-127.47,26.4,1994.0,2025.0,BC
8100880,47.98,-66.33,40.2,1966.0,2003.0,NB
8100885,47.99,-66.33,42.0,2003.0,2025.0,NB
8300300,46.29,-63.13,48.8,1953.0,2012.0,PE
8300301,46.29,-63.12,50.9,2012.0,2025.0,PE
6131414,42.31,-82.08,196.6,2014.0,2025.0,ON
7041382,50.47,-59.64,7.7,1994.0,2025.0,QC
5060600,58.74,-94.07,29.3,1953.0,2012.0,MB
5060605,58.74,-94.07,29.3,2012.0,2025.0,MB
5060595,58.74,-94.07,29.3,2010.0,2025.0,MB
5060608,58.73,-94.07,28.5,2005.0,2025.0,MB
8501130,53.56,-64.09,439.5,1994.0,2021.0,NL
8501132,53.55,-64.1,439.5,1968.0,1993.0,NL
8501131,53.56,-64.11,439.5,2011.0,2025.0,NL
3031640,50.0,-113.64,1009.0,1994.0,2025.0,AB
1161661,51.14,-121.5,1056.7,1994.0,2018.0,BC
1161662,51.27,-121.68,1126.2,2013.0,2025.0,BC
2300750,69.58,-120.8,100.6,1958.0,1993.0,NU
1161663,51.14,-121.5,1059.0,2015.0,2025.0,BC
2400800,70.49,-68.52,26.5,1953.0,2013.0,NU
2400801,70.49,-68.52,26.5,2008.0,2013.0,NU
2400804,70.49,-68.52,26.5,2013.0,2025.0,NU
2400803,70.49,-68.52,26.5,2013.0,2025.0,NU
2400802,70.48,-68.52,26.5,2004.0,2025.0,NU
6151684,43.95,-78.17,77.7,1993.0,2025.0,ON
3081680,54.42,-110.28,541.0,1954.0,2025.0,AB
6111792,44.5,-80.22,178.3,1994.0,2023.0,ON
4061630,58.18,-103.7,491.9,1972.0,1990.0,SK
4061629,58.19,-103.71,490.1,1994.0,2015.0,SK
4061620,58.23,-103.68,412.6,2015.0,2025.0,SK
8401259,49.27,-54.88,99.4,1967.0,1996.0,NL
1021830,49.72,-124.9,25.6,1953.0,2025.0,BC
2301002,64.19,-83.36,62.2,2015.0,2025.0,NU
2301000,64.19,-83.36,62.2,1953.0,2015.0,NU
2301004,64.19,-83.36,62.2,2016.0,2025.0,NU
2301010,64.18,-83.35,57.0,2014.0,2025.0,NU
8401298,48.93,-57.92,151.8,1994.0,2025.0,NL
3011885,52.08,-111.45,790.7,1994.0,2003.0,AB
3011880,52.07,-111.45,791.0,1953.0,1994.0,AB
3011887,52.07,-111.45,791.0,1999.0,2025.0,AB
61219J2,45.33,-81.73,180.7,1994.0,2021.0,ON
1152105,49.61,-115.78,940.0,2012.0,2025.0,BC
1152102,49.61,-115.78,940.0,1968.0,2012.0,BC
1152106,49.62,-115.79,926.7,2013.0,2025.0,BC
8401405,50.24,-57.58,19.0,2018.0,2025.0,NL
8401400,50.24,-57.58,19.0,1953.0,2018.0,NL
8401410,50.23,-57.58,19.0,1993.0,1996.0,NL
5040689,51.1,-100.05,304.5,2010.0,2025.0,MB
5040680,51.1,-100.05,304.5,1953.0,2013.0,MB
5040681,51.1,-100.06,304.5,1995.0,2025.0,MB
2100400,64.05,-139.43,320.0,1953.0,1976.0,YT
2100LRP,64.06,-139.13,370.0,1995.0,2025.0,YT
2100402,64.04,-139.13,370.3,1976.0,2013.0,YT
2100407,64.04,-139.13,370.3,2014.0,2025.0,YT
2100401,64.04,-139.13,370.3,2013.0,2025.0,YT
1182289,55.74,-120.18,654.7,2009.0,2025.0,BC
1182285,55.74,-120.18,654.7,1964.0,2009.0,BC
1182287,55.74,-120.18,654.7,2006.0,2010.0,BC
1192340,58.43,-130.01,806.6,1953.0,2012.0,BC
119BLM0,58.43,-130.03,800.7,1994.0,2025.0,BC
1192341,58.42,-130.03,802.8,2011.0,2025.0,BC
1192345,58.42,-130.03,792.5,2000.0,2011.0,BC
8201390,45.42,-63.47,37.5,2003.0,2025.0,NS
8201400,45.42,-63.45,44.2,1953.0,1960.0,NS
8401502,49.21,-57.39,21.9,2012.0,2025.0,NL
8401501,49.22,-57.4,21.9,1965.0,2012.0,NL
6131983,42.87,-80.55,231.7,1999.0,2025.0,ON
1102415,49.13,-123.0,3.1,2010.0,2025.0,BC
2401030,68.65,-71.17,526.7,1956.0,2023.0,NU
30221LG,51.45,-112.68,678.2,1994.0,2025.0,AB
6032119,49.83,-92.75,412.7,1969.0,2005.0,ON
6032120,49.83,-92.74,412.7,1999.0,2010.0,ON
6032125,49.83,-92.74,412.7,2010.0,2025.0,ON
6072223,47.7,-79.85,243.8,2011.0,2025.0,ON
6072225,47.7,-79.85,243.2,1953.0,2005.0,ON
6072224,47.7,-79.85,243.4,2000.0,2011.0,ON
6072230,47.7,-79.85,243.4,2008.0,2025.0,ON
8300418,46.46,-61.99,7.7,1994.0,2025.0,PE
4032322,49.44,-108.99,1079.6,1994.0,2025.0,SK
3012209,53.57,-113.52,671.0,1999.0,2025.0,AB
3012208,53.57,-113.52,670.6,1953.0,2005.0,AB
3012202,53.57,-113.52,671.4,2004.0,2015.0,AB
3012205,53.32,-113.58,723.3,1961.0,2012.0,AB
3012206,53.31,-113.61,715.0,1999.0,2025.0,AB
3012216,53.31,-113.58,723.3,2012.0,2025.0,AB
3012210,53.67,-113.47,687.9,1955.0,2025.0,AB
3012212,53.67,-113.47,687.9,2000.0,2022.0,AB
301222F,53.55,-114.11,766.3,1994.0,2019.0,AB
301A001,53.55,-114.11,766.3,2000.0,2025.0,AB
8101303,47.42,-68.32,154.2,2004.0,2025.0,NB
3062239,53.58,-116.47,926.9,2010.0,2025.0,AB
3062241,53.58,-116.42,924.5,1960.0,1970.0,AB
3062242,53.6,-116.48,925.4,1994.0,2006.0,AB
3062244,53.58,-116.47,927.2,1970.0,1999.0,AB
3062245,53.58,-116.47,926.9,2006.0,2011.0,AB
3062246,53.58,-116.45,927.0,1996.0,2025.0,AB
611BKE0,44.23,-79.78,251.0,1990.0,1993.0,ON
611E001,44.23,-79.78,251.0,2000.0,2025.0,ON
4022361,51.13,-106.58,594.7,1982.0,1990.0,SK
4022359,51.13,-106.58,595.0,1994.0,2025.0,SK
6052259,46.35,-82.56,331.3,1994.0,2012.0,ON
6142286,43.65,-80.42,376.4,2003.0,2025.0,ON
8401538,50.72,-56.11,30.3,1994.0,2025.0,NL
2301100,61.13,-100.9,324.6,1953.0,1979.0,NU
2301102,61.13,-100.88,353.1,1994.0,2025.0,NU
613KLLM,42.25,-81.9,178.0,1994.0,2023.0,ON
4012410,49.22,-102.97,580.6,2011.0,2025.0,SK
4012403,49.21,-102.97,580.3,2015.0,2025.0,SK
4012401,49.21,-102.97,580.3,2015.0,2018.0,SK
4012400,49.22,-102.97,580.3,1953.0,2015.0,SK
1032730,49.38,-126.54,5.8,1953.0,1979.0,BC
1032731,49.38,-126.54,5.8,1994.0,2025.0,BC
1062745,53.05,-129.68,9.6,1957.0,1994.0,BC
2401203,79.99,-85.81,82.9,2016.0,2025.0,NU
2401208,79.99,-85.81,82.9,2016.0,2025.0,NU
2401200,79.98,-85.93,10.4,1953.0,2016.0,NU
2401199,79.99,-85.93,10.0,2013.0,2025.0,NU
2100516,62.23,-133.35,694.3,1972.0,1977.0,YT
2100518,62.21,-133.38,716.6,1994.0,2025.0,YT
2100527,62.21,-133.37,716.3,2014.0,2025.0,YT
2100519,62.21,-133.37,716.3,2013.0,2025.0,YT
2100517,62.21,-133.37,716.3,1987.0,2013.0,YT
8401565,51.02,-57.1,9.1,1994.0,2025.0,NL
50309J6,51.08,-97.55,253.0,1994.0,2025.0,MB
5050919,54.68,-101.68,303.9,1994.0,2025.0,MB
5050960,54.68,-101.68,303.9,1954.0,2014.0,MB
5050973,54.68,-101.68,304.2,2014.0,2025.0,MB
5050961,54.68,-101.68,304.2,2014.0,2025.0,MB
7042395,47.32,-71.15,672.8,2003.0,2025.0,QC
3072655,58.77,-111.12,238.0,2011.0,2025.0,AB
3072657,58.72,-111.15,227.7,1962.0,1967.0,AB
307KFNF,58.77,-111.12,231.6,1989.0,1993.0,AB
3072658,58.77,-111.12,232.0,1967.0,2006.0,AB
3072662,58.77,-111.12,238.0,2006.0,2016.0,AB
3072659,58.77,-111.12,238.0,2012.0,2025.0,AB
2201401,66.24,-128.65,81.4,2015.0,2025.0,NT
2201400,66.24,-128.65,81.4,1965.0,2015.0,NT
2201406,66.24,-128.65,81.4,2015.0,2025.0,NT
2201450,66.24,-128.64,81.7,1998.0,2025.0,NT
2201579,60.23,-123.47,213.4,1994.0,2025.0,NT
2201581,60.24,-123.47,215.8,2014.0,2025.0,NT
2201575,60.24,-123.47,215.8,1973.0,2014.0,NT
2201576,60.24,-123.47,215.8,2014.0,2025.0,NT
3062693,56.65,-111.22,369.1,1953.0,2008.0,AB
3062697,56.65,-111.22,369.1,2011.0,2025.0,AB
3062700,56.65,-111.22,369.1,2008.0,2011.0,AB
3062696,56.65,-111.21,368.8,1999.0,2025.0,AB
2201606,67.41,-134.86,35.4,2014.0,2025.0,NT
2201601,67.41,-134.86,35.4,1988.0,2014.0,NT
2201599,67.41,-134.86,35.4,2014.0,2025.0,NT
1192948,58.84,-122.57,380.2,2015.0,2025.0,BC
1192946,58.84,-122.6,381.9,2012.0,2025.0,BC
1192940,58.84,-122.6,381.9,1953.0,2012.0,BC
2201900,62.72,-109.17,165.8,1953.0,1991.0,NT
2201903,62.71,-109.17,167.6,1994.0,2025.0,NT
2202000,61.18,-113.69,160.3,1954.0,2014.0,NT
2202001,61.18,-113.69,160.6,2014.0,2025.0,NT
2202010,61.18,-113.69,160.6,2014.0,2025.0,NT
2202100,61.87,-121.35,131.7,1953.0,1963.0,NT
2202115,61.76,-121.24,169.2,1998.0,2000.0,NT
2202103,61.76,-121.24,169.5,2014.0,2025.0,NT
2202101,61.76,-121.24,169.2,1963.0,2014.0,NT
2202104,61.76,-121.24,169.5,2016.0,2025.0,NT
2202102,61.76,-121.24,168.0,2003.0,2025.0,NT
2202203,60.02,-111.96,205.1,2016.0,2025.0,NT
2202201,60.02,-111.96,205.1,2014.0,2025.0,NT
2202200,60.02,-111.96,205.1,1953.0,2014.0,NT
2202202,60.03,-111.93,203.0,2003.0,2025.0,NT
1183000,56.24,-120.74,694.9,1953.0,2012.0,BC
1183001,56.24,-120.74,694.9,2012.0,2025.0,BC
8101500,45.87,-66.53,20.7,1953.0,2010.0,NB
8101605,45.92,-66.61,35.1,2004.0,2025.0,NB
8101505,45.87,-66.54,20.7,2010.0,2025.0,NB
8101792,45.83,-66.43,50.6,1976.0,2025.0,NB
8101794,45.84,-66.45,50.6,2000.0,2022.0,NB
8401705,48.95,-54.57,151.0,2005.0,2025.0,NL
8401700,48.95,-54.58,151.2,1953.0,2012.0,NL
8401703,48.94,-54.57,151.2,2012.0,2025.0,NL
7052605,48.78,-64.48,34.1,1965.0,2013.0,QC
7052601,48.78,-64.48,34.1,2013.0,2025.0,QC
7052602,48.78,-64.48,34.1,2016.0,2025.0,QC
7052603,48.78,-64.48,36.0,2019.0,2025.0,QC
7032681,45.52,-75.57,64.3,1981.0,2012.0,QC
5030984,52.82,-97.62,222.5,1994.0,2025.0,MB
6042715,49.7,-86.95,330.7,1967.0,1981.0,ON
6042718,49.78,-86.99,348.4,2016.0,2025.0,ON
6042717,49.78,-86.94,348.4,2015.0,2022.0,ON
6042716,49.78,-86.93,348.4,1981.0,2015.0,ON
6042719,49.78,-86.93,340.0,2018.0,2025.0,ON
5060999,56.36,-94.7,145.3,1994.0,2025.0,MB
5061000,56.35,-94.7,138.4,1953.0,1961.0,MB
5061022,56.36,-94.71,145.1,2014.0,2025.0,MB
5061025,56.36,-94.71,145.1,2015.0,2023.0,MB
5061001,56.36,-94.71,145.1,1970.0,2014.0,MB
5031038,50.63,-97.02,222.8,1972.0,1991.0,MB
5031040,50.63,-97.05,222.2,1953.0,1971.0,MB
5031042,50.63,-97.05,230.1,2006.0,2025.0,MB
5031041,50.63,-96.98,217.0,1999.0,2025.0,MB
50310D0,50.63,-97.05,230.1,1994.0,2010.0,MB
2302336,68.64,-95.85,46.9,2013.0,2025.0,NU
2302335,68.64,-95.85,46.9,1984.0,2013.0,NU
2302337,68.64,-95.85,46.9,2013.0,2025.0,NU
2302338,68.64,-95.85,46.9,2008.0,2013.0,NU
2302340,68.64,-95.85,42.3,2003.0,2025.0,NU
6122847,43.77,-81.72,213.7,1986.0,2025.0,ON
6122849,43.77,-81.7,213.4,1969.0,1980.0,ON
1173214,51.3,-116.98,784.9,2014.0,2025.0,BC
1173209,51.3,-116.98,784.9,2014.0,2025.0,BC
1173210,51.3,-116.98,784.9,1991.0,2014.0,BC
1173220,51.3,-116.98,785.0,2015.0,2025.0,BC
8501900,53.32,-60.42,48.8,1953.0,2025.0,NL
6092930,45.88,-82.57,193.5,2005.0,2012.0,ON
6092925,45.88,-82.57,193.5,1953.0,2005.0,ON
6092920,45.88,-82.57,188.6,2010.0,2025.0,ON
6092919,45.88,-82.57,189.9,2009.0,2025.0,ON
5031110,53.18,-99.27,222.5,1970.0,1979.0,MB
5031A10,53.19,-99.27,222.5,1994.0,2025.0,MB
3072921,55.18,-118.88,669.0,2013.0,2025.0,AB
3072920,55.18,-118.89,669.0,1953.0,2013.0,AB
6093005,45.63,-82.95,182.8,1994.0,2021.0,ON
5031201,50.52,-95.98,253.0,2005.0,2025.0,MB
8202000,44.98,-64.92,28.0,1953.0,2025.0,NS
5021220,49.03,-97.56,252.6,1994.0,2025.0,MB
1063303,54.58,-130.7,9.5,1994.0,2025.0,BC
7052960,47.38,-61.87,59.7,1953.0,1983.0,QC
2402346,76.42,-82.9,42.7,1984.0,2015.0,NU
2402338,76.43,-82.91,41.1,2015.0,2025.0,NU
2402360,76.43,-82.91,41.1,2015.0,2025.0,NU
2402351,76.42,-82.9,44.5,2007.0,2025.0,NU
6143089,43.55,-80.22,325.0,2006.0,2022.0,ON
2100630,60.77,-137.58,595.3,1960.0,2025.0,YT
8202240,44.66,-63.58,3.8,2004.0,2025.0,NS
8202252,44.59,-63.55,52.0,2004.0,2025.0,NS
8202249,44.88,-63.51,145.4,2019.0,2025.0,NS
8202250,44.88,-63.5,145.4,1961.0,2012.0,NS
8202251,44.88,-63.51,145.4,2012.0,2025.0,NS
8202255,44.66,-63.61,51.0,2004.0,2025.0,NS
2402350,68.78,-81.24,9.1,1956.0,2012.0,NU
2402352,68.78,-81.24,9.1,2008.0,2012.0,NU
6153194,43.17,-79.93,237.7,1970.0,2011.0,ON
6153193,43.17,-79.94,237.7,2011.0,2025.0,ON
6153301,43.29,-79.91,102.0,2000.0,2025.0,ON
830P001,46.34,-63.17,53.0,2004.0,2025.0,PE
6133362,42.03,-82.9,191.0,2000.0,2025.0,ON
8202318,45.35,-60.98,8.2,1994.0,2025.0,NS
7043017,50.25,-63.6,4.9,1967.0,1978.0,QC
7043019,50.28,-63.61,37.8,2010.0,2025.0,QC
7043018,50.28,-63.6,37.8,1983.0,2008.0,QC
7043020,50.28,-63.6,37.8,2000.0,2011.0,QC
2202400,60.84,-115.78,164.9,1953.0,2014.0,NT
2202401,60.84,-115.78,164.9,2014.0,2025.0,NT
2202403,60.84,-115.78,164.9,2016.0,2025.0,NT
2202402,60.84,-115.78,164.0,2003.0,2025.0,NT
7053038,49.09,-61.7,7.0,1994.0,2023.0,QC
1063461,50.94,-127.63,13.5,1994.0,2025.0,BC
2100636,69.57,-138.91,1.2,1994.0,2025.0,YT
3073148,58.63,-117.16,339.0,2020.0,2025.0,AB
3073145,58.52,-117.1,326.7,1967.0,1970.0,AB
3073141,58.62,-117.16,338.0,2012.0,2025.0,AB
3073140,58.62,-117.16,338.0,2011.0,2025.0,AB
3073146,58.62,-117.16,338.0,1970.0,2012.0,AB
1063496,54.17,-130.36,5.5,1994.0,2025.0,BC
2502500,70.73,-117.78,9.1,1953.0,1967.0,NT
2502505,70.76,-117.8,29.9,2000.0,2025.0,NT
1113539,49.37,-121.48,39.0,1994.0,2005.0,BC
1113541,49.37,-121.5,39.0,2004.0,2012.0,BC
1113542,49.37,-121.5,39.0,2011.0,2025.0,BC
1113540,49.37,-121.5,39.0,1953.0,1995.0,BC
1113543,49.37,-121.49,39.0,2012.0,2025.0,BC
8502400,55.45,-60.22,11.9,1953.0,2025.0,NL
10459NN,49.49,-123.3,7.1,1994.0,2025.0,BC
4083322,52.82,-102.32,358.1,1994.0,2007.0,SK
4083320,52.87,-102.4,371.9,1953.0,1978.0,SK
4083321,52.82,-102.32,358.1,1978.0,1999.0,SK
4083324,52.82,-102.32,358.1,2007.0,2025.0,SK
2402543,69.37,-81.82,52.7,1984.0,2015.0,NU
2402541,69.36,-81.82,52.7,2015.0,2025.0,NU
2402546,69.36,-81.82,52.7,2015.0,2025.0,NU
7043BP9,48.07,-69.56,5.9,1994.0,2025.0,QC
7053KGR,47.43,-61.77,7.6,1993.0,2025.0,QC
7053254,47.43,-61.78,10.7,2014.0,2025.0,QC
705C2G9,47.42,-61.78,10.7,1978.0,2013.0,QC
7053250,47.43,-61.78,10.7,2013.0,2025.0,QC
2202560,61.92,-113.73,165.2,1994.0,2025.0,NT
710S005,58.47,-78.08,26.2,2008.0,2025.0,QC
7103280,58.47,-78.08,25.3,2011.0,2025.0,QC
7103283,58.47,-78.08,26.2,1992.0,2014.0,QC
7103282,58.47,-78.08,24.4,1953.0,1995.0,QC
2202571,68.3,-133.48,67.7,2013.0,2025.0,NT
2202570,68.3,-133.48,67.7,1958.0,2013.0,NT
2202575,68.3,-133.48,67.7,2008.0,2013.0,NT
2202578,68.32,-133.52,103.0,2003.0,2025.0,NT
2402590,63.75,-68.55,33.5,1953.0,2014.0,NU
2402596,63.76,-68.56,33.5,2014.0,2025.0,NU
2402591,63.75,-68.55,33.5,2008.0,2015.0,NU
2402592,63.75,-68.54,33.5,2004.0,2025.0,NU
2402600,78.78,-103.53,25.3,1953.0,1978.0,NU
2402604,78.79,-103.55,58.0,1994.0,2025.0,NU
4063605,55.53,-102.35,297.4,2004.0,2025.0,SK
5061374,53.86,-94.65,235.3,2016.0,2025.0,MB
5061375,53.86,-94.65,235.3,2015.0,2021.0,MB
5061376,53.85,-94.65,235.6,1970.0,2015.0,MB
3053520,52.88,-118.07,1062.2,1953.0,1996.0,AB
3053536,52.93,-118.03,1020.0,1994.0,2025.0,AB
7063370,48.43,-71.14,135.6,1994.0,2025.0,QC
1163781,50.7,-120.45,345.3,2013.0,2025.0,BC
1163780,50.7,-120.44,345.3,1953.0,2013.0,BC
1163842,50.7,-120.44,345.0,2006.0,2025.0,BC
711L380,58.71,-65.99,66.1,1992.0,2015.0,QC
7113390,58.71,-65.99,66.1,2015.0,2025.0,QC
7113391,58.71,-65.99,66.1,2018.0,2025.0,QC
7113381,61.59,-71.93,157.6,1992.0,2015.0,QC
7113379,61.59,-71.93,157.6,2015.0,2025.0,QC
7113380,61.59,-71.93,157.6,2018.0,2025.0,QC
7113382,60.02,-70.0,123.8,1992.0,2015.0,QC
7113383,60.03,-70.0,123.8,2015.0,2025.0,QC
7113384,60.03,-70.0,123.8,2018.0,2025.0,QC
6073978,49.41,-82.47,226.5,2016.0,2025.0,ON
6073975,49.41,-82.47,226.5,1953.0,2014.0,ON
6073976,49.41,-82.47,226.5,2014.0,2025.0,ON
6073980,49.41,-82.44,218.0,2000.0,2025.0,ON
1123939,49.96,-119.38,433.1,2009.0,2025.0,BC
1123970,49.96,-119.38,429.5,1959.0,2005.0,BC
1123965,49.96,-119.38,429.5,2004.0,2009.0,BC
